order_id,customer_id,country,order_date,worker_id,total_paid
OR0000001,CU04167,CA,2023-03-27,WO00337,60.61
OR0000002,CU08950,CA,2022-03-25,WO00124,40.16
OR0000003,CU05911,UK,2018-09-04,WO00029,60.22
OR0000004,CU01349,UK,2025-06-06,WO00119,45.489999999999995
OR0000005,CU08317,UK,2025-07-26,WO00247,40.0
OR0000006,CU08738,UK,2020-05-04,WO00473,84.7
OR0000007,CU01783,UK,2021-10-02,WO00333,45.37
OR0000008,CU07285,UK,2017-06-11,WO00109,58.25
OR0000009,CU04419,CA,2021-07-10,WO00197,48.35
OR0000010,CU02622,CA,2025-10-19,WO00089,40.68
OR0000011,CU04372,UK,2024-10-05,WO00065,33.2
OR0000012,CU01042,UK,2025-11-05,WO00107,8.85
OR0000013,CU04549,UK,2025-02-08,WO00080,10.47
OR0000014,CU08327,CA,2022-06-19,WO00428,48.6
OR0000015,CU00865,IR,2021-04-19,WO00230,22.77
OR0000016,CU07075,CA,2025-04-18,WO00090,86.0475
OR0000017,CU02153,CA,2026-01-20,WO00259,16.12
OR0000018,CU08290,CA,2025-10-16,WO00094,30.049999999999997
OR0000019,CU05443,UK,2023-12-17,WO00051,56.2
OR0000020,CU05754,IR,2024-02-28,WO00371,12.682500000000001
OR0000021,CU03246,CA,2024-11-27,WO00337,15.66
OR0000022,CU00497,CA,2024-03-07,WO00044,41.14
OR0000023,CU07880,CA,2021-08-23,WO00124,3.7
OR0000024,CU06266,UK,2024-12-20,WO00133,10.55
OR0000025,CU05624,CA,2025-04-23,WO00016,23.15
OR0000026,CU07203,UK,2023-07-26,WO00432,107.8766
OR0000027,CU04992,UK,2024-10-01,WO00377,32.57
OR0000028,CU03569,UK,2025-04-24,WO00097,28.6927
OR0000029,CU05373,UK,2023-06-30,WO00485,13.05
OR0000030,CU01105,UK,2025-02-18,WO00167,74.66
OR0000031,CU00732,UK,2021-05-31,WO00234,38.93
OR0000032,CU08544,UK,2025-09-09,WO00204,12.48
OR0000033,CU03213,UK,2025-05-12,WO00276,63.0725
OR0000034,CU08142,CA,2023-06-22,WO00414,76.5
OR0000035,CU01928,CA,2022-12-23,WO00312,43.82
OR0000036,CU08219,CA,2025-01-31,WO00224,66.52
OR0000037,CU01248,CA,2026-02-09,WO00178,28.130000000000003
OR0000038,CU02910,CA,2026-03-16,WO00450,46.230000000000004
OR0000039,CU03259,UK,2022-06-29,WO00433,31.42
OR0000040,CU07159,UK,2025-06-17,WO00441,21.05
OR0000041,CU03183,UK,2025-04-21,WO00210,24.85
OR0000042,CU04189,CA,2026-03-03,WO00285,36.625
OR0000043,CU05711,CA,2023-01-13,WO00288,58.85
OR0000044,CU00166,UK,2025-04-01,WO00270,80.06
OR0000045,CU00492,UK,2022-08-13,WO00055,32.755
OR0000046,CU07635,IR,2025-08-10,WO00328,36.940000000000005
OR0000047,CU07232,UK,2025-11-06,WO00335,52.260000000000005
OR0000048,CU03769,UK,2025-12-24,WO00119,102.74
OR0000049,CU01546,UK,2024-05-14,WO00127,157.77
OR0000050,CU06249,UK,2025-01-30,WO00451,7.68
OR0000051,CU03753,CA,2025-07-09,WO00249,46.63
OR0000052,CU08523,UK,2025-11-17,WO00101,16.58
OR0000053,CU03955,CA,2025-10-08,WO00206,60.4775
OR0000054,CU01035,CA,2022-04-03,WO00103,62.019999999999996
OR0000055,CU02653,UK,2024-04-24,WO00436,88.56
